mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin
9.0,8,304.0,193,4732,18.5,70,1
10.0,8,307.0,200,4376,15.0,70,1
10.0,8,360.0,215,4615,14.0,70,1
11.0,8,318.0,210,4382,13.5,70,1
11.0,8,350.0,180,3664,11.0,73,1
11.0,8,400.0,150,4997,14.0,73,1
11.0,8,429.0,208,4633,11.0,72,1
12.0,8,400.0,167,4906,12.5,73,1
12.0,8,350.0,160,4456,13.5,72,1
12.0,8,383.0,180,4955,11.5,71,1
12.0,8,350.0,180,4499,12.5,73,1
12.0,8,455.0,225,4951,11.0,73,1
12.0,8,429.0,198,4952,11.5,73,1
13.0,8,350.0,175,4100,13.0,73,1
13.0,8,360.0,170,4654,13.0,73,1
13.0,8,360.0,175,3821,11.0,73,1
13.0,8,400.0,175,5140,12.0,71,1
13.0,8,440.0,215,4735,11.0,73,1
13.0,8,351.0,158,4363,13.0,73,1
37.2,4,86.0,65,2019,16.4,80,3
37.3,4,91.0,69,2130,14.7,79,2
37.7,4,89.0,62,2050,17.3,81,3
38.0,4,105.0,63,2125,14.7,82,1
38.0,4,91.0,67,1965,15.0,82,3
38.0,4,91.0,67,1995,16.2,82,3
38.0,6,262.0,85,3015,17.0,82,1
38.1,4,89.0,60,1968,18.8,80,3
39.0,4,86.0,64,1875,16.4,81,1
39.1,4,79.0,58,1755,16.9,81,3
39.4,4,85.0,70,2070,18.6,78,3
40.8,4,85.0,65,2110,19.2,80,3
41.5,4,98.0,76,2144,14.7,80,2
43.1,4,90.0,48,1985,21.5,78,2
43.4,4,90.0,48,2335,23.7,80,2
44.0,4,97.0,52,2130,24.6,82,2
44.3,4,90.0,48,2085,21.7,80,2
44.6,4,91.0,67,1850,13.8,80,3
46.6,4,86.0,65,2110,17.9,80,3
