raf,mek,plc,pip2,pip3,erk,akt,pka,pkc,p38,jnk
74.3,32.2,1.01,253.0,16.4,47.4,127.0,1230.0,24.6,43.3,3.68
80.6,40.7,16.8,14.2,4.1,20.2,33.4,239.0,3.96,7.17,82.0
91.4,41.4,24.8,319.0,38.9,17.9,30.5,956.0,18.6,34.3,79.1
55.2,85.1,6.04,20.2,5.0,1.96,67.9,126.0,4.66,22.5,8.2
31.9,8.82,12.9,154.0,56.7,16.8,16.0,433.0,9.56,48.7,54.2
41.8,23.9,4.53,14.5,32.2,12.3,24.1,441.0,17.9,29.2,12.4
44.9,24.6,20.4,21.5,24.8,6.32,22.1,770.0,23.5,42.6,75.0
115.0,173.0,35.9,509.0,62.1,1.63,18.6,73.7,2.25,41.8,8.58
55.7,31.6,8.06,2.69,16.5,9.31,28.1,1009.0,10.9,31.1,13.7
325.0,491.0,35.5,69.8,13.5,1.0,43.3,106.0,13.1,42.2,94.7
9.65,16.1,12.4,21.7,1.47,13.0,35.2,470.0,24.1,43.7,23.1
50.9,24.1,3.05,491.0,79.9,35.2,44.1,547.0,13.5,26.4,11.9
44.1,42.2,14.5,204.0,13.8,20.7,42.6,509.0,13.3,39.2,61.5
33.1,22.3,47.4,141.0,39.2,27.1,50.5,1000.0,1.0,75.0,7.7
67.9,32.8,2.17,1.01,7.04,9.82,36.2,615.0,26.9,40.3,9.14
17.2,14.7,24.1,34.3,10.6,36.5,47.4,313.0,8.51,38.9,47.4
90.6,36.5,4.74,1.01,19.6,23.3,30.0,271.0,26.9,40.7,16.3
7.57,4.91,2.64,372.0,19.1,15.5,34.3,227.0,21.5,23.9,10.2
67.9,53.3,4.83,4.74,5.38,63.2,112.0,1486.0,39.6,65.5,29.7
49.6,32.2,17.9,7.84,9.31,6.79,13.5,604.0,16.3,28.9,11.1
75.7,56.2,18.6,32.8,10.6,18.8,33.1,523.0,11.8,32.8,41.4
91.4,80.6,4.7,191.0,44.5,48.7,69.2,379.0,16.0,33.1,15.5
62.1,25.0,59.4,109.0,31.6,31.1,52.3,947.0,28.4,49.1,5.67
84.3,34.6,5.14,15.8,14.3,13.5,21.5,349.0,3.46,12.1,62.1
26.2,39.2,24.8,44.9,16.3,50.0,90.6,1407.0,31.9,62.1,74.3
27.6,34.6,1.0,1.01,12.2,5.88,16.1,385.0,14.9,23.7,15.8
16.1,18.4,25.9,44.9,33.7,19.6,40.3,528.0,38.5,92.2,172.0
23.7,25.5,16.4,289.0,22.1,25.9,32.2,441.0,51.9,83.5,104.0
138.0,1.0,16.4,204.0,27.1,10.2,28.4,396.0,1.0,4.57,1.43
64.9,46.6,26.2,21.9,14.1,24.1,31.1,375.0,12.1,27.1,7.99
57.8,16.5,11.2,83.5,11.8,31.3,44.1,1794.0,18.1,35.5,11.7
79.9,36.5,10.7,16.3,37.2,8.51,21.1,777.0,18.8,38.2,133.0
109.0,31.9,22.3,154.0,40.7,12.3,20.4,615.0,20.4,37.5,14.9
34.9,1.02,21.7,12.3,7.5,29.7,35.2,294.0,1.0,1.36,1.32
79.9,49.6,35.2,39.2,9.31,14.6,20.7,533.0,4.7,14.5,18.1
302.0,445.0,7.64,6.26,4.45,10.0,52.8,1358.0,1.29,33.4,8.2
119.0,64.4,10.5,53.8,28.6,8.66,33.4,2480.0,2.97,31.9,78.4
12.7,13.0,16.7,100.0,15.4,7.77,24.8,813.0,25.5,71.7,112.0
28.1,13.0,7.99,145.0,16.3,17.0,34.3,649.0,11.8,30.2,52.8
7.77,12.3,26.2,34.9,1.0,42.2,50.0,533.0,8.98,14.9,50.9
24.6,17.5,27.9,18.1,19.1,14.9,26.9,496.0,40.0,55.2,85.1
40.3,23.7,8.06,1.0,16.5,7.43,31.3,1094.0,13.6,30.2,11.0
38.5,22.9,7.17,4.61,22.9,103.0,229.0,594.0,29.4,64.9,4.96
65.5,38.5,20.4,133.0,37.2,59.9,110.0,1358.0,2.74,13.9,98.2
163.0,86.6,33.1,53.8,15.4,40.3,53.3,316.0,18.9,38.5,13.2
21.9,18.3,1.0,89.0,5.88,3.89,12.4,491.0,9.06,27.4,16.7
92.2,30.8,20.2,21.5,6.1,26.9,51.9,1526.0,1.78,22.5,84.3
38.9,5.38,22.3,87.4,22.1,20.5,49.6,1046.0,5.38,5.42,4.87
496.0,770.0,12.6,14.3,9.22,2.37,27.6,45.3,11.8,34.9,19.3
16.4,1.01,32.8,35.2,6.26,10.2,16.8,233.0,1.0,25.5,6.98
13.9,39.6,15.4,22.5,7.1,31.1,43.3,396.0,72.3,167.0,372.0
71.7,25.5,13.1,12.0,43.3,12.2,31.3,655.0,7.7,16.4,49.1
37.2,19.1,11.8,19.8,7.17,8.9,17.0,588.0,1.0,1.0,44.5
33.1,1.88,10.5,244.0,22.3,9.65,13.6,407.0,4.49,382.0,8.9
62.6,27.6,77.0,53.8,16.0,7.77,14.1,331.0,18.6,39.6,12.9
99.1,43.7,1.0,161.0,23.3,7.64,17.9,578.0,5.14,17.3,21.3
89.0,34.9,13.9,27.4,87.4,14.1,21.1,638.0,22.9,28.9,15.8
51.4,59.4,42.2,178.0,66.1,5.78,22.7,514.0,9.82,18.3,4.0
139.0,91.4,19.5,70.4,7.23,13.0,22.5,414.0,7.04,20.5,2.55
19.1,40.7,13.1,22.3,9.47,13.0,26.9,403.0,14.7,18.6,15.3
61.5,16.8,5.23,105.0,22.9,5.73,27.6,396.0,25.0,25.9,5.94
62.1,18.1,24.8,113.0,25.5,17.0,34.6,604.0,4.26,13.5,72.3
105.0,34.9,20.9,27.6,4.57,42.6,66.1,505.0,49.1,82.0,114.0
18.1,23.5,40.7,91.4,53.8,14.7,28.4,552.0,4.96,41.4,292.0
414.0,615.0,13.8,25.7,17.5,3.72,55.2,237.0,6.85,32.8,23.7
19.3,17.3,5.14,12.0,21.5,12.5,30.2,483.0,17.9,23.5,14.5
63.2,110.0,40.7,343.0,78.4,1.0,85.1,255.0,3.4,37.5,36.2
21.9,20.4,55.7,483.0,61.0,28.1,44.5,757.0,11.8,17.3,59.4
16.0,29.2,17.3,23.9,20.2,38.2,57.3,519.0,12.0,31.9,63.8
53.8,38.5,20.0,14.2,9.73,8.06,15.8,407.0,17.2,26.4,19.3
41.8,14.6,33.7,491.0,103.0,36.5,60.4,319.0,26.7,24.6,7.43
