auto_mpg_mcts,auto_mpg_opt,auto_mpg_true,sachs_mcts,sachs_opt,sachs_true,gaia_mcts,gaia_opt,gaia_true
0.166666667,0.166666667,0.95,0.109619687,0.109619687,0.727128427,0.005928854,0.005928854,0.908930995
0.433589744,0.344166667,0.95,0.107801505,0.107801505,0.727128427,-0.004071146,0.137641688,0.908930995
0.423589744,0.334166667,0.95,0.105983323,0.185461185,0.727128427,-0.014071146,0.127641688,0.908930995
0.413589744,0.324166667,0.95,0.104165141,0.183643003,0.727128427,-0.024071146,0.196698375,0.908930995
0.403589744,0.615844156,0.95,0.10234696,0.181824821,0.727128427,-0.004071146,0.40475764,0.908930995
0.423589744,0.521428571,0.95,0.100528778,0.168181818,0.727128427,-0.014071146,0.293721998,0.908930995
0.413589744,0.778525641,0.95,0.098710596,0.178188457,0.727128427,-0.014071146,0.417045245,0.908930995
0.414396552,0.765,0.95,0.096892414,0.176370276,0.727128427,-0.024071146,0.436541653,0.908930995
0.403589744,0.805079365,0.95,0.095074232,0.162727273,0.727128427,-0.024071146,0.398985372,0.908930995
0.404396552,0.848269231,0.95,0.09325605,0.166142274,0.727128427,-0.014071146,0.908930995,0.908930995
0.413589744,0.491428571,0.95,0.088688411,0.37129504,0.727128427,-0.024071146,0.880582011,0.908930995
0.403589744,0.596190476,0.95,0.076551724,0.349956278,0.727128427,-0.024071146,0.898930995,0.908930995
0.404396552,0.664047619,0.95,0.08670895,0.406322044,0.727128427,-0.034071146,0.862249712,0.908930995
0.393589744,0.743626374,0.95,0.078553417,0.368251045,0.727128427,-0.034071146,0.899084249,0.908930995
0.393589744,0.785079365,0.95,0.088366593,0.367658676,0.727128427,-0.024071146,0.878930995,0.908930995
0.403589744,0.437628205,0.95,0.075668449,0.368251045,0.727128427,-0.034071146,0.870582011,0.908930995
0.393589744,0.872222222,0.95,0.085663189,0.315121614,0.727128427,-0.034071146,0.869454695,0.908930995
0.393589744,0.765079365,0.95,0.083845007,0.365656566,0.727128427,0.183031521,0.879454695,0.908930995
0.403589744,0.501428571,0.95,0.076647727,0.365840494,0.727128427,0.173031521,0.877341849,0.908930995
0.393589744,0.872222222,0.95,0.047014829,0.347796331,0.727128427,0.163031521,0.877341849,0.908930995
0.393589744,0.765079365,0.95,0.107801505,0.367658676,0.727128427,0.173031521,0.878930995,0.908930995
0.403589744,0.501428571,0.95,0.105983323,0.365840494,0.727128427,0.163031521,0.841984519,0.908930995
0.393589744,0.727748447,0.95,0.105983323,0.367658676,0.727128427,0.163031521,0.909084249,0.908930995
0.393589744,0.444785068,0.95,0.104165141,0.365840494,0.727128427,0.153031521,0.867748235,0.908930995
0.393589744,0.775079365,0.95,0.104165141,0.365840494,0.727128427,0.153031521,0.870582011,0.908930995
0.383589744,0.848269231,0.95,0.10234696,0.312632204,0.727128427,0.163031521,0.888930995,0.908930995
0.383589744,0.692896825,0.95,0.10234696,0.263397557,0.727128427,0.153031521,0.824140981,0.908930995
0.393589744,0.805079365,0.95,0.100528778,0.365840494,0.727128427,0.153031521,0.824140981,0.908930995
0.383589744,0.805079365,0.95,0.100528778,0.343891085,0.727128427,0.153031521,0.879454695,0.908930995
0.383589744,0.805079365,0.95,0.098710596,0.346319915,0.727128427,0.143031521,0.862249712,0.908930995
0.393589744,0.726089744,0.95,0.098710596,0.343891085,0.727128427,0.143031521,0.860900819,0.908930995
0.383589744,0.805079365,0.95,0.096892414,0.294618773,0.727128427,0.153031521,0.87862773,0.908930995
0.383589744,0.805079365,0.95,0.096892414,0.41039075,0.727128427,0.136147541,0.842489966,0.908930995
0.393589744,0.641538462,0.95,0.095074232,0.378481241,0.727128427,0.143031521,0.908930995,0.908930995
0.383589744,0.805079365,0.95,0.095074232,0.393655303,0.727128427,0.153031521,0.908930995,0.908930995
0.383589744,0.805079365,0.95,0.082227913,0.468423481,0.727128427,0.143031521,0.908930995,0.908930995
0.393589744,0.293809524,0.95,0.10030303,0.460305577,0.727128427,0.143031521,0.898930995,0.908930995
0.383589744,0.805079365,0.95,0.081108962,0.411037296,0.727128427,0.153031521,0.899084249,0.908930995
0.383589744,0.805079365,0.95,0.09563932,0.40082343,0.727128427,0.143031521,0.854402985,0.908930995
0.393589744,0.805079365,0.95,0.076551724,0.402496817,0.727128427,0.143031521,0.862249712,0.908930995
0.383589744,0.805079365,0.95,0.076551724,0.476250416,0.727128427,0.143031521,0.87862773,0.908930995
0.383589744,0.805079365,0.95,0.080719424,0.403118022,0.727128427,0.133031521,0.908930995,0.908930995
0.393589744,0.763333333,0.95,0.087556818,0.440383593,0.727128427,0.133031521,0.908930995,0.908930995
0.383589744,0.491428571,0.95,0.087556818,0.408512044,0.727128427,0.136147541,0.908930995,0.908930995
0.383589744,0.838269231,0.95,0.080177196,0.339191919,0.727128427,0.126147541,0.908930995,0.908930995
0.393589744,0.828269231,0.95,0.080177196,0.39688513,0.727128427,0.126147541,0.898930995,0.908930995
0.383589744,0.805079365,0.95,0.082537606,0.314709533,0.727128427,0.136147541,0.880582011,0.908930995
0.570769231,0.765,0.95,0.075238095,0.461611722,0.727128427,0.126147541,0.862249712,0.908930995
0.560769231,0.805079365,0.95,0.078,0.400381016,0.727128427,0.143031521,0.880582011,0.908930995
0.591818182,0.805079365,0.95,0.07540404,0.376910319,0.727128427,0.133031521,0.899084249,0.908930995
0.540769231,0.805079365,0.95,0.087556818,0.393701299,0.727128427,0.126147541,0.397858056,0.908930995
