reward,f1,nhd
0.166666667,0,0.25
0.433589744,0.333333333,0.2
0.423589744,0.285714286,0.25
0.413589744,0.5,0.2
0.403589744,0.444444444,0.25
0.423589744,0.571428571,0.15
0.413589744,0.5,0.2
0.414396552,0.5,0.2
0.403589744,0.444444444,0.25
0.404396552,0.444444444,0.25
0.413589744,0.25,0.3
0.403589744,0.222222222,0.35
0.404396552,0.444444444,0.25
0.393589744,0.4,0.3
0.393589744,0.4,0.3
0.403589744,0.444444444,0.25
0.393589744,0.4,0.3
0.393589744,0.4,0.3
0.403589744,0.222222222,0.35
0.393589744,0.4,0.3
0.393589744,0.2,0.4
0.403589744,0.444444444,0.25
0.393589744,0.4,0.3
0.393589744,0.4,0.3
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.4,0.3
0.383589744,0.363636364,0.35
0.383589744,0.363636364,0.35
0.393589744,0.2,0.4
0.383589744,0.181818182,0.45
0.383589744,0.363636364,0.35
0.393589744,0.2,0.4
0.383589744,0.363636364,0.35
0.570769231,0.363636364,0.35
0.560769231,0.5,0.3
0.591818182,0.461538462,0.35
0.540769231,0.571428571,0.3
0.581818182,0.428571429,0.4
0.530769231,0.533333333,0.35
0.540769231,0.428571429,0.4
0.530769231,0.533333333,0.35
0.483333333,0.533333333,0.35
0.483333333,0.533333333,0.35
0.560769231,0.333333333,0.4
0.591818182,0.461538462,0.35
0.540769231,0.428571429,0.4
0.540769231,0.428571429,0.4
0.550769231,0.307692308,0.45
0.550769231,0.307692308,0.45
0.550769231,0.615384615,0.25
0.540769231,0.571428571,0.3
0.540769231,0.571428571,0.3
0.560769231,0.5,0.3
0.628333333,0.461538462,0.35
0.591818182,0.461538462,0.35
0.550769231,0.461538462,0.35
0.628333333,0.461538462,0.35
0.560769231,0.333333333,0.4
0.560769231,0.333333333,0.4
0.383589744,0.181818182,0.45
0.374396552,0.333333333,0.4
0.374396552,0.333333333,0.4
0.393589744,0.2,0.4
0.383589744,0.181818182,0.45
0.383589744,0.363636364,0.35
0.373589744,0.333333333,0.4
0.373589744,0.5,0.3
0.383589744,0.363636364,0.35
0.383589744,0.181818182,0.45
0.374396552,0.333333333,0.4
0.636896552,0.333333333,0.4
0.626896552,0.461538462,0.35
0.616896552,0.571428571,0.3
0.606896552,0.533333333,0.35
0.626896552,0.461538462,0.35
0.616896552,0.428571429,0.4
0.527152962,0.428571429,0.4
0.517152962,0.4,0.45
0.616896552,0.428571429,0.4
0.626896552,0.307692308,0.45
0.616896552,0.285714286,0.5
0.626896552,0.307692308,0.45
0.517152962,0.4,0.45
0.373589744,0.333333333,0.4
0.374396552,0.333333333,0.4
0.373589744,0.333333333,0.4
0.383589744,0.545454545,0.25
0.95,1,0
0.166666667,0,0.25
0.344166667,0.333333333,0.2
0.334166667,0.285714286,0.25
0.324166667,0.5,0.2
0.615844156,0.666666667,0.15
0.521428571,0.6,0.2
0.778525641,0.8,0.1
0.765,0.727272727,0.15
0.805079365,0.727272727,0.15
0.848269231,0.666666667,0.2
0.491428571,0.615384615,0.25
0.596190476,0.615384615,0.25
0.664047619,0.615384615,0.25
0.743626374,0.615384615,0.25
0.785079365,0.769230769,0.15
0.437628205,0.615384615,0.25
0.872222222,0.714285714,0.2
0.765079365,0.666666667,0.25
0.501428571,0.666666667,0.2
0.872222222,0.714285714,0.2
0.765079365,0.666666667,0.25
0.501428571,0.666666667,0.2
0.727748447,0.666666667,0.2
0.444785068,0.571428571,0.3
0.775079365,0.714285714,0.2
0.848269231,0.666666667,0.2
0.692896825,0.666666667,0.2
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.726089744,0.666666667,0.2
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.641538462,0.666666667,0.2
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.293809524,0.615384615,0.25
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.763333333,0.666666667,0.2
0.491428571,0.615384615,0.25
0.838269231,0.769230769,0.15
0.828269231,0.714285714,0.2
0.805079365,0.727272727,0.15
0.765,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.447628205,0.666666667,0.2
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.395490196,0.615384615,0.25
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.805079365,0.727272727,0.15
0.795079365,0.833333333,0.1
0.785079365,0.769230769,0.15
0.785079365,0.769230769,0.15
0.775079365,0.714285714,0.2
0.775079365,0.714285714,0.2
0.765,0.727272727,0.15
0.763333333,0.666666667,0.2
0.93,0.833333333,0.1
0.813939394,0.769230769,0.15
0.92,0.769230769,0.15
0.803939394,0.714285714,0.2
0.813939394,0.769230769,0.15
0.803939394,0.714285714,0.2
0.803939394,0.714285714,0.2
0.803939394,0.714285714,0.2
0.491428571,0.615384615,0.25
0.763333333,0.666666667,0.2
0.785079365,0.615384615,0.25
0.481428571,0.571428571,0.3
0.707619048,0.571428571,0.3
0.755,0.666666667,0.2
0.454785068,0.615384615,0.25
0.716089744,0.615384615,0.25
0.775079365,0.714285714,0.2
0.765,0.727272727,0.15
0.724395604,0.615384615,0.25
0.686666667,0.615384615,0.25
0.765,0.727272727,0.15
0.200769231,0.615384615,0.25
0.765,0.727272727,0.15
0.765,0.727272727,0.15
0.95,1,0
0.086666667,0.153846154,0.55
0.096666667,0.166666667,0.5
0.086666667,0.153846154,0.55
0.096666667,0.166666667,0.5
0.096666667,0.166666667,0.5
0.106666667,0.181818182,0.45
0.106666667,0.363636364,0.35
0.096666667,0.333333333,0.4
0.086666667,0.307692308,0.45
0.086666667,0.153846154,0.55
0.086666667,0.153846154,0.55
0.096666667,0.166666667,0.5
0.086666667,0.153846154,0.55
0.076666667,0.285714286,0.5
0.076666667,0.142857143,0.6
0.353589744,0.285714286,0.5
0.363589744,0.307692308,0.45
0.363589744,0.461538462,0.35
0.086666667,0.307692308,0.45
0.353589744,0.428571429,0.4
0.353589744,0.285714286,0.5
0.076666667,0.142857143,0.6
0.353589744,0.285714286,0.5
0.363589744,0.307692308,0.45
0.363589744,0.307692308,0.45
0.280389036,0.307692308,0.45
0.628333333,0.461538462,0.35
0.455664336,0.461538462,0.35
0.550769231,0.461538462,0.35
0.591818182,0.615384615,0.25
0.363589744,0.461538462,0.35
0.611438127,0.5,0.3
0.487971014,0.5,0.3
0.373589744,0.333333333,0.4
0.565844156,0.428571429,0.4
0.618333333,0.428571429,0.4
0.353589744,0.285714286,0.5
0.445664336,0.428571429,0.4
0.270389036,0.285714286,0.5
0.560769231,0.666666667,0.2
0.540769231,0.571428571,0.3
0.581818182,0.428571429,0.4
0.402063492,0.428571429,0.4
0.560769231,0.666666667,0.2
0.501818182,0.615384615,0.25
