reward,f1,nhd
0.206896552,0,0.35
0.196896552,0,0.4
0.186896552,0,0.45
0.176896552,0,0.5
0.196896552,0,0.4
0.186896552,0,0.45
0.186896552,0,0.45
0.176896552,0,0.5
0.176896552,0,0.5
0.186896552,0,0.45
0.176896552,0,0.5
0.176896552,0.2,0.4
0.166896552,0,0.55
0.166896552,0.181818182,0.45
0.176896552,0,0.5
0.166896552,0.181818182,0.45
0.166896552,0,0.55
0.176896552,0,0.5
0.166896552,0,0.55
0.519695958,0.181818182,0.45
0.507165862,0.333333333,0.4
0.497165862,0.461538462,0.35
0.507165862,0.333333333,0.4
0.499695958,0.461538462,0.35
0.487165862,0.571428571,0.3
0.499695958,0.461538462,0.35
0.487165862,0.428571429,0.4
0.487165862,0.571428571,0.3
0.499695958,0.307692308,0.45
0.487165862,0.428571429,0.4
0.489695958,0.428571429,0.4
0.471492224,0.533333333,0.35
0.477165862,0.533333333,0.35
0.487165862,0.428571429,0.4
0.477165862,0.4,0.45
0.477165862,0.533333333,0.35
0.489695958,0.428571429,0.4
0.477165862,0.4,0.45
0.477165862,0.533333333,0.35
0.489695958,0.428571429,0.4
0.479695958,0.4,0.45
0.477165862,0.533333333,0.35
0.477165862,0.4,0.45
0.467165862,0.5,0.4
0.467165862,0.5,0.4
0.477165862,0.4,0.45
0.467165862,0.375,0.5
0.467165862,0.5,0.4
0.479695958,0.4,0.45
0.467165862,0.5,0.4
0.467165862,0.5,0.4
0.477165862,0.4,0.45
0.467165862,0.375,0.5
0.467165862,0.5,0.4
0.471492224,0.4,0.45
0.467165862,0.5,0.4
0.467165862,0.5,0.4
0.471492224,0.533333333,0.35
0.467165862,0.5,0.4
0.467165862,0.5,0.4
0.471492224,0.533333333,0.35
0.467165862,0.5,0.4
0.467165862,0.5,0.4
0.471492224,0.4,0.45
0.467165862,0.5,0.4
0.467165862,0.375,0.5
0.457165862,0.470588235,0.45
0.457165862,0.470588235,0.45
0.467165862,0.375,0.5
0.457165862,0.470588235,0.45
0.467165862,0.375,0.5
0.457165862,0.470588235,0.45
0.461492224,0.5,0.4
0.457165862,0.470588235,0.45
0.451492224,0.588235294,0.35
0.467165862,0.5,0.4
0.457165862,0.470588235,0.45
0.461492224,0.5,0.4
0.457165862,0.470588235,0.45
0.467165862,0.5,0.4
0.457165862,0.470588235,0.45
0.467165862,0.5,0.4
0.457165862,0.470588235,0.45
0.467165862,0.5,0.4
0.457165862,0.470588235,0.45
0.467165862,0.375,0.5
0.457165862,0.470588235,0.45
0.467165862,0.5,0.4
0.457165862,0.588235294,0.35
0.457165862,0.588235294,0.35
0.479695958,0.4,0.45
0.467165862,0.5,0.4
0.467165862,0.375,0.5
0.457165862,0.470588235,0.45
0.457165862,0.470588235,0.45
0.457165862,0.470588235,0.45
0.457165862,0.470588235,0.45
0.507165862,0.333333333,0.4
0.497165862,0.307692308,0.45
0.497165862,0.307692308,0.45
0.499695958,0.307692308,0.45
0.422647059,1,0
0.206896552,0,0.35
0.392411539,0.25,0.3
0.375549931,0.222222222,0.35
0.749432419,0.444444444,0.25
0.435077933,0.4,0.3
0.814756182,0.4,0.3
0.78979664,0.363636364,0.35
0.792837055,0.363636364,0.35
0.510370359,0.333333333,0.4
0.792215602,0.333333333,0.4
0.690905797,0.307692308,0.45
0.817941935,0.333333333,0.4
0.772837055,0.307692308,0.45
0.515195851,0.307692308,0.45
0.670363036,0.307692308,0.45
0.749122807,0.461538462,0.35
0.762837055,0.285714286,0.5
0.794497354,0.461538462,0.35
0.796666667,0.428571429,0.4
0.786666667,0.533333333,0.35
0.742837055,0.5,0.4
0.804497354,0.333333333,0.4
0.782215602,0.307692308,0.45
0.927464387,0.461538462,0.35
0.891117002,0.571428571,0.3
0.880716846,0.428571429,0.4
0.917464387,0.428571429,0.4
0.907464387,0.533333333,0.35
0.907464387,0.533333333,0.35
0.884323063,0.625,0.3
0.897464387,0.625,0.3
0.894323063,0.533333333,0.35
0.630228646,0.533333333,0.35
0.897464387,0.625,0.3
0.874323063,0.705882353,0.25
0.874323063,0.705882353,0.25
0.629328803,0.5,0.4
0.884323063,0.5,0.4
0.897464387,0.625,0.3
0.874323063,0.705882353,0.25
0.90509058,0.571428571,0.3
0.882850388,0.666666667,0.25
0.894323063,0.666666667,0.25
0.897272938,0.75,0.2
0.897272938,0.75,0.2
0.861236814,0.4,0.45
0.881117002,0.666666667,0.25
0.647789302,0.625,0.3
0.603119308,0.588235294,0.35
0.861236814,0.4,0.45
0.892850388,0.571428571,0.3
0.894323063,0.533333333,0.35
0.603119308,0.588235294,0.35
0.898484048,0.533333333,0.35
0.898484048,0.533333333,0.35
0.891117002,0.571428571,0.3
0.891117002,0.571428571,0.3
0.891117002,0.571428571,0.3
0.894323063,0.666666667,0.25
0.671381862,0.428571429,0.4
0.806666667,0.307692308,0.45
0.762837055,0.428571429,0.4
0.75979664,0.285714286,0.5
0.917464387,0.428571429,0.4
0.784497354,0.428571429,0.4
0.672334632,0.533333333,0.35
0.75979664,0.428571429,0.4
0.806666667,0.307692308,0.45
0.734444444,0.428571429,0.4
0.784497354,0.285714286,0.5
0.503830258,0.285714286,0.5
0.786666667,0.4,0.45
0.459130387,0.375,0.5
0.660363036,0.428571429,0.4
0.784497354,0.428571429,0.4
0.774497354,0.533333333,0.35
0.786666667,0.4,0.45
0.470889403,0.375,0.5
0.483830258,0.5,0.4
0.492334218,0.428571429,0.4
0.808747795,0.428571429,0.4
0.493830258,0.4,0.45
0.786666667,0.4,0.45
0.496460453,0.375,0.5
0.898484048,0.533333333,0.35
0.875538607,0.625,0.3
0.838049959,0.5,0.4
0.878512922,0.588235294,0.35
0.878512922,0.588235294,0.35
0.786666667,0.4,0.45
0.838049959,0.5,0.4
0.782215602,0.307692308,0.45
0.776666667,0.5,0.4
0.473830258,0.470588235,0.45
0.762215602,0.533333333,0.35
0.796666667,0.428571429,0.4
0.786666667,0.4,0.45
0.480889403,0.4,0.45
0.483830258,0.375,0.5
0.495195851,0.4,0.45
0.875538607,0.625,0.3
0.422647059,1,0
0.24230191,0.307692308,0.45
0.238751687,0.307692308,0.45
-0.006428571,0.153846154,0.55
0.211695157,0.285714286,0.5
0.006271186,0.142857143,0.6
0.169960887,0.285714286,0.5
0.226034717,0.285714286,0.5
0.013333333,0.142857143,0.6
0.219147485,0.266666667,0.55
0.003333333,0.133333333,0.65
0.208751687,0.25,0.6
0.003495935,0.125,0.7
0.169960887,0.285714286,0.5
0.233205128,0.285714286,0.5
0.230513861,0.266666667,0.55
0.228419819,0.266666667,0.55
0.218280423,0.266666667,0.55
0.213269231,0.266666667,0.55
0.161002506,0.266666667,0.55
0.311895206,0.25,0.6
0.216034717,0.266666667,0.55
0.21089382,0.25,0.6
0.313076923,0.125,0.7
0.322411539,0.133333333,0.65
0.126896552,0,0.75
0.311895206,0.125,0.7
0.116896552,0,0.8
0.311895206,0.25,0.6
0.147515763,0.25,0.6
0.189139434,0.25,0.6
0.322411539,0.266666667,0.55
0.126896552,0.133333333,0.65
0.226366048,0.266666667,0.55
0.312411539,0.25,0.6
0.116896552,0.125,0.7
0.214351396,0.25,0.6
0.312411539,0.25,0.6
0.116896552,0.125,0.7
0.302411539,0.235294118,0.65
0.106896552,0.117647059,0.75
0.205607477,0.235294118,0.65
0.312411539,0.125,0.7
0.116896552,0,0.8
0.210767509,0.125,0.7
0.302411539,0.235294118,0.65
